Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL DOM BOSCO,52070948,GO,Aparecida de Goiânia,Urbana,A escola não está em área de localização diferenciada,Pública,"AV EPITACIO SARAVIVA DA CRUZ, SN JARDIM DOM BOSCO. 74963-150 Aparecida de Goiânia - GO.",,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-16.8193537,-49.3480237
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL PONTAL SUL,52070964,GO,Aparecida de Goiânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ESPINELIO ESQ. COM RUA MICA, S/N QD S/N LT S/N PONTAL. VILA OLIVEIRA. 74955-260 Aparecida de Goiânia - GO.",(62) 35456532,Municipal,Não Informado,Não,Em Tramitação,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-16.8101365,-49.282459
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL VERANY MACHADO DE OLIVEIRA,52070972,GO,Goiânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JP 31 QUADRA 50, SN JARDIM PRIMAVERA. 74477-207 Goiânia - GO.",(62) 32952663,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-16.5876689,-49.3739044
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE ENSINO EM PERIODO INTEGRAL JUVENAL JOSE PEDROSO,52070999,GO,Goiânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 07, SN VILA PEDROSO. 74770-190 Goiânia - GO.",(62) 985157464,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-16.6589235,-49.1795638
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL DONA LOURDES ESTIVALETE TEIXEIRA,52071006,GO,Aparecida de Goiânia,Urbana,A escola não está em área de localização diferenciada,Pública,"AV EIXO VIARIO QD19A KM 18, SN CEPAIGO. AREA INDUSTRIAL. 74923-650 Aparecida de Goiânia - GO.",(62) 32012949,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Educação de Jovens Adultos,,-16.8062226,-49.2009411
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL PEDRO NECA,52071014,GO,Aparecida de Goiânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOAQUIM MARQUES SOARES, SN QD 113. INDEPENDENCIA MANSOES. 74959-302 Aparecida de Goiânia - GO.",,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-16.8238464,-49.3060247
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL PROFESSOR RAIMUNDO DE OLIVEIRA CASTRO,52071049,GO,Itaguari,Urbana,A escola não está em área de localização diferenciada,Pública,"AV. GOIAS, S/N TRES PODERES. 76650-000 Itaguari - GO.",(62) 33961531,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.926954,-49.6060661
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUL DIVINA AGUIAR DA SILVA,52071154,GO,Itapirapuã,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA F, CIDADE LIVRE. 76290-000 Itapirapuã - GO.",(62) 33741206,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.8262864,-50.6116633
ESCOLA PARALISADA,ESC MARANATA DE ITAPURANGA,52071227,GO,Itapuranga,Urbana,Não Informado,Privada,"RUA 47 A, 00 CENTRO. 76680-000 Itapuranga - GO.",,Privada,Não Informado,Não,,,,,,
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL PROFESSOR JOSE LOPES,52071251,GO,Vila Propício,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA RAIMUNDO VIEIRA, SN ESQ CCOM R CAMPO ALE. CENTRO. 76393-000 Vila Propício - GO.",(62) 999811798,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.4490365,-48.8866366
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA DIVINA MOREIRA DA SILVA,52071260,GO,Itapuranga,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 23 DE AGOSTO QD.07 LT. 01 Nº100, Nº100 PROXIMO AO PELOTAO. BELA VISTA. 76680-000 Itapuranga - GO.",(62) 984485570,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.553914536722,-49.9527862016112
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO MUNICIPAL DE EDUCACAO INFANTIL CASULO,52071286,GO,Alexânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 26, 2A AREA ESPECIAL. CENTRO. 72930-000 Alexânia - GO.",(62) 33361113,Municipal,Não Informado,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-16.0860488,-48.5082086
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA LUIZ CESAR DE SIQUEIRA MELO,52071324,GO,Goianésia,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA 35 SUL, 600 PRIMAVERA. 76384-066 Goianésia - GO.",(62) 33532005,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.3451245,-49.1145464
ESCOLA EXCLUSIVA DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO,CENTRO MUNICIPAL DE ATENDIMENTO A DIVERSIDADE- CEMAD,52071367,GO,Anápolis,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA GENI RIBEIRO GUIMARAES, S/Nº ESQ. JOAQUIM CUNHA. MARACANA. 75040-060 Anápolis - GO.",(62) 39021132,Municipal,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atendimento Educacional Especializado,-16.31447397,-48.95534551
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO EDUCACIONAL AGUIA,52071383,GO,Anápolis,Urbana,A escola não está em área de localização diferenciada,Privada,"AV. BERNARDO SAYAO, 300 QUADRA 24 - LOTE 19. VILA JAIARA. 75064-300 Anápolis - GO.",(62) 33193391,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-16.28985,-48.96981
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL JAHIR RIBEIRO GUIMARAES,52071421,GO,Anápolis,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA FEDERAL, SN JARDIM GUANABARA. 75053-647 Anápolis - GO.",(62) 39022016,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-16.262216,-48.9881204
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL LUCIANO DA SILVA PEIXOTO,52071480,GO,Pirenópolis,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA BERNADINO LOBO, S/N VILA SANTA BARBARA. ALTO BONFIM. 72980-000 Pirenópolis - GO.",(62) 33311769,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-15.8568024,-48.944815
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL PROFESSORA OLIVIA CONCEICA0 DE PINA,52071499,GO,Pirenópolis,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA BENEDITO DE PINA, S/N VILA ZIZITO POMPEU. 72980-000 Pirenópolis - GO.",(62) 33312731,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental","Atendimento Educacional Especializado, Atividade Complementar",-15.855027,-48.9631613
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL CANTINHO DO SABER,52071510,GO,Araçu,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CURITIBA, 05 -. VILA KENNEDY. 75410-000 Araçu - GO.",(62) 993316937,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-16.35620486,-49.68427439
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL ODILON SANTOS,52071537,GO,Goianira,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 7, SN QD 08. VILA PADRE PELAGIO. 75360-144 Goianira - GO.",(62) 35930712,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-16.5051908,-49.4315207
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA M ANTONIO DE JESUS LEITE,52071553,GO,Águas Lindas de Goiás,Urbana,A escola não está em área de localização diferenciada,Pública,"AREA AREA ESPECIAL 01 N.15, JARDIM QUERENCIA. 72910-708 Águas Lindas de Goiás - GO.",(61) 36185592,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental","Atendimento Educacional Especializado, Atividade Complementar",-15.75473785,-48.26067097
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA M JOAQUIM PEDRO GOMES DA CRUZ,52071561,GO,Águas Lindas de Goiás,Urbana,A escola não está em área de localização diferenciada,Pública,"AREAESPECIALA/IN, 2 AREA ESPECIAL A/I. MANSOES VILLAGE. 72916-224 Águas Lindas de Goiás - GO.",(61) 36133179,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental","Atendimento Educacional Especializado, Atividade Complementar",-15.73030833,-48.26550333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUL CARINHO MATERNO MARIANA P BATISTA,52071570,GO,Campos Belos,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 14 QUADRA QN 7 LOTE 02, VILA BAIANA. 73840-000 Campos Belos - GO.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-13.0358817,-46.7635302
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA AMOR PERFEITO,52071600,GO,Inhumas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DOS ALPES, 97 SETOR NIPO BRASILEIRO. 75407-052 Inhumas - GO.",(62) 35141875,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,,
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE ESCOLAR PUBLICA MUNICIPAL RURAL MONSENHOR ANGELINO,52071626,GO,Inhumas,Rural,A escola não está em área de localização diferenciada,Pública,"RODOVIA GO222 KM15 ZONA RURAL, SN RODOVIA. ZONA RURAL. 75401-039 Inhumas - GO.",(62) 32128900,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-16.37879586,-49.48411435
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA,CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO DIURZA LEAO,52071642,GO,Inhumas,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MESTRE FULGENCIO, SN Q 06 L 1 A 4. VILA JANDIRA. 75405-460 Inhumas - GO.",(62) 35145245,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-16.37650515,-49.49189869
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL LEVITA DE LIMA SOARES,52071650,GO,Padre Bernardo,Rural,A escola não está em área de localização diferenciada,Pública,"FAZENDA BREQUENEM, SN RURAL. 73700-000 Padre Bernardo - GO.",(61) 36331251,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.25148667,-48.108065
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PRE ESCOLA PINGO DE GENTE,52071669,GO,Padre Bernardo,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SANTA CATARINA ESQUINA C/ RUA 12, S/N SETOR OESTE. 73700-000 Padre Bernardo - GO.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.1663627,-48.29340792
ESCOLA PARALISADA,ESCOLA MUNICIPAL CURRAL DA TABOCA,52071693,GO,Monte Alegre de Goiás,Rural,Não Informado,Pública,"FAZENDA CURRAL DA TABOCA, 73830-000 Monte Alegre de Goiás - GO.",(62) 34571334,Municipal,Não Informado,Não,,,,,-13.4337246,-47.1911144
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL PROFESSOR JURIVE DE SOUZA VILA REAL,52071707,GO,Monte Alegre de Goiás,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA CLAUDIO FRANCISCO REGIS, VERDES MONTES. 73830-000 Monte Alegre de Goiás - GO.",(62) 34571334,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-13.2581715,-46.8808231
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL AREIA,52071758,GO,Monte Alegre de Goiás,Rural,Área remanescente de quilombos,Pública,"FAZENDA AREIA, ZONA RURAL. 73830-000 Monte Alegre de Goiás - GO.",(62) 34571334,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-13.4337185,-47.1910938
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL BOM JARDIM,52071774,GO,Monte Alegre de Goiás,Rural,Área remanescente de quilombos,Pública,"FAZENDA BOM JARDIM, ZONA RURAL. 73830-000 Monte Alegre de Goiás - GO.",(62) 34571334,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-13.4336844,-47.19111
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL TINGUIZAL,52071782,GO,Monte Alegre de Goiás,Rural,Área remanescente de quilombos,Pública,"FAZENDA TINGUIZAL, ZONA RURAL. 73830-000 Monte Alegre de Goiás - GO.",(62) 34571334,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-13.4337451,-47.1911162
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MAE AUGUSTINHA RAMOS,52071790,GO,Monte Alegre de Goiás,Urbana,A escola não está em área de localização diferenciada,Pública,"AV. INDUSTRIAL SN, SN CENTRO. 73830-000 Monte Alegre de Goiás - GO.",(62) 996775011,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-13.2598491,-46.8921683
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL BARRA,52071812,GO,Monte Alegre de Goiás,Rural,Área remanescente de quilombos,Pública,"FAZENDA BARRA COMUNIDADE KILOMBOLA, ZONA RURAL. 73830-000 Monte Alegre de Goiás - GO.",(62) 34571334,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-13.4337582,-47.1911388
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA,ESCOLA DE ENSINO ESPECIAL ERICA DE MELO BARBOZA,52071847,GO,Jataí,Urbana,A escola não está em área de localização diferenciada,Privada,"R INACIO JOSE DE MELO, 1405 VILA SANTA MARIA. 75800-105 Jataí - GO.",(64) 36313625,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-17.8845934,-51.7237008
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS DE CALDAS NOVAS NIVO DAS NEVES,52071863,GO,Caldas Novas,Urbana,A escola não está em área de localização diferenciada,Pública,"AV BRASILIA QD 54, SETOR SAO JOSE. SAO JOSE. 75696-057 Caldas Novas - GO.",(64) 34552906,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-17.7526161,-48.6275561
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL WALDOMIRO GONCALVES DE SOUZA,52071871,GO,Caldas Novas,Rural,A escola não está em área de localização diferenciada,Pública,"POVOADO DO SAPE, ZONA RURAL. 75680-013 Caldas Novas - GO.",(64) 992448121,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-17.5804484,-48.5857835
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL NORBERTO ODEBRECHT,52071898,GO,Caldas Novas,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 18 AREA PUBLICA N 7, MANSOES AGUAS QUENTE. 75680-013 Caldas Novas - GO.",(64) 34543813,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-17.71215544,-48.63013769
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL PROF JOAO JUSTINO OLIVEIRA CAIC,52071944,GO,Jataí,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA 31 DE MAIO, SN EPAMINONDAS. 75805-150 Jataí - GO.",(64) 36324041,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-17.8605675,-51.7294781
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL PROFESSORA MARY DO CARMO,52071960,GO,Morrinhos,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 25 ESQ C 29, JARDIM SANTA FE. 75650-000 Morrinhos - GO.",(64) 34172045,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-17.74018833,-49.115455
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,IF GOIANO - CAMPUS MORRINHOS,52071979,GO,Morrinhos,Rural,A escola não está em área de localização diferenciada,Pública,"ROD BR 153, KM 633, CP 92. ZONA RURAL. 75650-000 Morrinhos - GO.",(64) 34137900,Federal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-17.81307,-49.20396
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL MILITARIZADA MUNDO MAGICO,52071995,GO,Piracanjuba,Urbana,Área remanescente de quilombos,Pública,"RUA H4, 358 LOTES 1, 2 E 3. SETOR SAO VICENTE DE PAULO. 75640-000 Piracanjuba - GO.",(64) 992325112,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-17.30074,-49.03233
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL O PEQUENO PRINCIPE,52072029,GO,Ivolândia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA AURILANDIA, S/Nº Q. 18 L.09. CENTRO. 76130-000 Ivolândia - GO.",(64) 981246126,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-16.60688,-50.79360333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS ARISTON GOMES DA SILVA IPORA,52072088,GO,Iporá,Urbana,A escola não está em área de localização diferenciada,Pública,"AV PERNAMBUCO, 517 CENTRO. 76200-000 Iporá - GO.",(64) 36741162,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-16.4421916,-51.1154104
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PRE ESC MUL RAIO DE SOL,52072096,GO,Ipameri,Urbana,A escola não está em área de localização diferenciada,Pública,"TRAVESSA VELAR, SN CENTRO. 75780-000 Ipameri - GO.",(64) 993393114,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-17.7217392,-48.1709769
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL RODOLFO BRAZ DE QUEIROZ,52072100,GO,Ipameri,Urbana,A escola não está em área de localização diferenciada,Pública,"AV DAS FLORES, CENTRO. 75784-000 Ipameri - GO.",(64) 34383144,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-16.9235978,-47.7063466
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL NS SENHORA APARECIDA,52072118,GO,Ipameri,Urbana,A escola não está em área de localização diferenciada,Pública,"R DOS IPES, 3 VILA ESTRELA. 75780-000 Ipameri - GO.",(64) 34916042,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-17.7296703,-48.1726396
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DONA MENINA,52072142,GO,Bela Vista de Goiás,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE PEREIRA, SN QUADRA 19. SETOR LUCIA ALICE. 75240-000 Bela Vista de Goiás - GO.",(62) 35517081,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atividade Complementar,-16.9696328,-48.9595426
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CMEI MENINO JESUS,52072150,GO,Hidrolândia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DAS LARANJEIRAS, SN JARDIM PRIMAVERA. 75340-000 Hidrolândia - GO.",(62) 35538599,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,Atendimento Educacional Especializado,-16.97723944,-49.22913895
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL NOSSA SENHORA DA PIEDADE,52072223,GO,Porangatu,Urbana,A escola não está em área de localização diferenciada,Pública,"AV. MARECHAL FLORIANO PEIXOTO, 30 NOSSA SENHORA DA PIEDADE. 76550-000 Porangatu - GO.",(62) 33625027,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-13.44083667,-49.15292667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL MARIA DOS SANTOS DA CRUZ COSTA,52072339,GO,Montividiu do Norte,Rural,Área de assentamento,Pública,"ASSENTAMENTO SANTA JULIA, ZONA RURAL. 76465-000 Montividiu do Norte - GO.",(62) 33846268,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-13.01100634,-48.73582556
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL JOAQUIM JOSE DOS SANTOS,52072363,GO,Posse,Rural,A escola não está em área de localização diferenciada,Pública,"FAZ GERAIS DE NOMINADA SITIO, SN ZONA RURAL. 73900-000 Posse - GO.",(62) 34812733,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atividade Complementar,-14.2571962,-46.3850422
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL FRANCISCO DE ASSIS COELHO LOPES,52072398,GO,Mundo Novo,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MATO GROSSO. QUADRA 41, LOTE 01 A 06, 00000 AERONAUTICA. 76530-000 Mundo Novo - GO.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-13.776932,-50.2782686
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL PROFESSORA DULCE ALVES FERREIRA,52072460,GO,Silvânia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE MAXIMO DA COSTA, SN AREA MUNICIPAL 4. SETOR SUL. 75180-000 Silvânia - GO.",(62) 33322527,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-16.676051,-48.6208405
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO INSTITUTO DE EDUCACAO ARAGUAIA,52072487,GO,São Miguel do Araguaia,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA GOIAS, 746 CENTRO. 76590-000 São Miguel do Araguaia - GO.",(62) 33642077,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,,
